,SMILES,CID
0,Cc1cc2c(cc1)C(=O)C=C(C2=O)C,101211
1,c1cc(c2C(=O)C=CC(=O)c2c1O)O,10141
2,Cc1c(c2c(c(c1CC(=O)C)O)C(=O)C(=CC2=O)OC)O,10149
3,CC1=C(c2ccccc2C(=O)C1=O)O,10221
4,c1ccc(cc1)C1=C(C(=O)C(=C(C1=O)O)c1ccccc1)O,11056
5,CC1=CC(=O)C=CC1=O,11122
6,C1=CC(=O)C(=O)C=C1,11421
7,CC1=CC(=O)C(=CC1=O)OC,11958
8,C1=C(C(=O)C=C(C1=O)Cl)Cl,12011
9,C1=C(C(=O)C(=CC1=O)Cl)Cl,12771
10,CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,12867
11,c1cc2c(cc1O)C(=O)c1c(C2=O)ccc(c1O)O,1320
12,Cc1c(c(c2c(c1)C(=O)c1ccccc1C2=O)O)C,1382
13,Cc1cccc2-c3c(C(=O)C(=O)c12)cc(cc3)C(C)C,138485
14,c1ccc(cc1)NC1=C(C(=O)c2ccccc2C1=O)Cl,14161
15,CC(C)C1=C(C(=O)c2ccccc2C1=O)Br,156136
16,Cc1cc(c(c(c1)C(=O)O)C1=CC(=O)c2c(C1=O)cccc2O)OC,156388
17,Cc1c(c(c2c(c1)C(=O)C(=CC2=O)OC)O)C(=O)C,158739
18,CC(=O)Oc1cccc2c1C(=O)c1c(C2=O)cccc1OC(=O)C,16068
19,CC1=C(C(=O)c2ccccc2C1=O)C,16615
20,CN(C)C1=CC(=O)c2ccccc2C1=O,16870
21,COC1=CC(=O)c2ccccc2C1=O,16871
22,CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C,17161
23,c1ccc2c(c1)C(=O)C(=C(C2=O)Cl)N,17748
24,Cc1c(c2c(c(c1C[C@@H](C)O)O)C(=O)C(=CC2=O)OC)O,186116
25,CC(C)(C)C1=CC(=O)C=CC1=O,19211
26,c1ccc2c(c1)C(=O)c1c(ccc(c1C2=O)NCCO)NCCO,20549
27,COc1ccc(cc1)c1cc(c2c(c1O)C(=O)c1c(ccc(c1C2=O)O)N)N,20826
28,Cc1c(c2c(cc1)C(=O)c1ccccc1C2=O)Nc1ccccc1,21062
29,CCCCC[C@@H](c1c(cc2c(c1O)C(=O)c1c(cc(cc1C2=O)O)O)O)O,22049
30,c1cc(c2c(c1O)C(=O)c1c(ccc(c1C2=O)O)Cl)Cl,23271
31,c1cc2c(c(c1)O)C(=O)c1c(C2=O)cccc1O,2950
32,CN(C)CCCNC1=C(C(=O)c2ccccc2C1=O)Cl,31108
33,COC1=C(C(=O)c2ccccc2C1=O)OC,3136
34,Cc1c(c2c(cc1)C(=O)c1ccccc1C2=O)N(=O)=O,31426
35,CC(C)(C)NC1=CC(=O)c2ccccc2C1=O,31903
36,CCOC1=CC(=O)C(=CC1=O)NC(=O)C,32263
37,CC1=C(C(=O)C(=C(C1=O)Br)C(C)C)Br,34474
38,c1ccc2c(c1)C(=O)C(=C(C2=O)CCl)CCl,35853
39,c1cc2c(C(=O)C=CC2=O)c(c1)O,3806
40,CC1=CC(=O)c2ccccc2C1=O,4055
41,CCOC1=C(C(=O)c2ccccc2C1=O)Cl,43050
42,C1=CC(=O)c2c(C1=O)c(c(c(c2O)Cl)Cl)O,4407
43,C1=CC(=O)C=CC1=O,4650
44,c1ccc(cc1)C(=O)NC1=CC(=O)c2ccccc2C1=O,4882
45,CC(=CC[C@@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)O)C,5208
46,c1ccc(cc1)CSC1=C(C(=O)c2ccccc2C1=O)Cl,52589
47,C1(=C(C(=O)C(=C(C1=O)O)O)O)O,5424
48,CC1=C(C(=O)C(=C(C1=O)O)OC)O,66556
49,C1(=C(C(=O)C(=C(C1=O)Cl)O)Cl)O,66604
50,c1ccc(cc1)C(=O)Nc1c2c(c(cc1)Cl)C(=O)c1ccccc1C2=O,6679
51,Cc1ccc(cc1)Nc1c2c(c(cc1)O)C(=O)c1ccccc1C2=O,6680
52,c1ccc2c(c1)C(=O)c1c(C2=O)c(c(cc1Br)Br)N,6681
53,c1ccc2c(c1)C(=O)c1c(C2=O)c(c(cc1O)O)N,6682
54,c1ccc2c(c1)C(=O)c1c(C2=O)c(c(cc1Nc1cc(c(cc1)N)S([O])([O])O)S([O])([O])O)N,6689
55,c1ccc(cc1)Oc1cccc2c1C(=O)c1c(C2=O)c(ccc1)Oc1ccccc1,6699
56,c1ccc2c(c1)C(=O)c1c(C2=O)c(ccc1)N(=O)=O,6704
57,c1ccc2c(c1)C(=O)c1c(C2=O)c(ccc1)S([O])([O])O,6713
58,c1cc2c3c(c1)C(=O)C(=O)c3ccc2,6724
59,CCc1cc2c(cc1)C(=O)c1ccccc1C2=O,6772
60,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,6775
61,c1ccc2c(c1)C(=O)c1ccccc1C2=O,6780
62,C1(=C(C(=O)C(=C(C1=O)Br)Br)Br)Br,68101
63,CC1=C(C(=O)C(=C(C1=O)C)C)C,68238
64,C1(=C(C(=O)C(=C(C1=O)F)F)F)F,68239
65,COC1=CC(=O)C=C(C1=O)OC,68262
66,c1ccc2c(c1)C(=O)c1c(C2=O)c(ccc1)F,68436
67,C1=CC(=O)C(=CC1=O)Cl,69671
68,c1ccc(cc1)C1=CC(=O)C(=CC1=O)c1ccccc1,70055
69,CC(=O)NC1=C(C(=O)c2ccccc2C1=O)Cl,72754
70,c1cc2c(-c3c(cccn3)C(=O)C2=O)nc1,72810
71,c1ccc2c(c1)C(=O)C=C(C2=O)N,72909
72,C1(=C(C(=O)C(=O)C(=C1Cl)Cl)Cl)Cl,73252
73,CC(=O)OC1=CC(=O)c2ccccc2C1=O,74513
74,c1ccc2c(c1)C(=O)C=C(C2=O)Br,74944
75,CC1=CC(=O)C(=CC1=O)N(CCCl)CCCl,75093
76,C1(=C(C(=O)C(=O)C(=C1Br)Br)Br)Br,75521
77,c1c(c2c(c(c1O)O)C(=O)C(=O)C=C2O)O,75583
78,c1ccc2cc3c(cc2c1)C(=O)c1cc2ccccc2cc1C3=O,76415
79,COC1=C(C(=O)C=CC1=O)OC,76565
80,CC(C)(C)C1=CC(=O)C(=O)C(=C1)C(C)(C)C,76915
81,C1(=C(C(=O)C(=C(C1=O)Cl)N)Cl)N,77512
82,C1=CC(=O)C(=CC1=O)I,77570
83,CCCCC1=CC(=O)C=CC1=O,77863
84,C1(=C(C(=O)C(=C(C1=O)Br)O)Br)O,78078
85,C1=CC(=O)C(=C(C1=O)C#N)C#N,78362
86,COC1=C(C(=O)C(=C(C1=O)Cl)OC)Cl,81630
87,c1ccc2c(c1)C(=O)c1c(C2=O)c(c(cc1O)Br)N,8320
88,COc1c2c(c(cc1)N)C(=O)c1ccccc1C2=O,8321
89,c1ccc2c(c1)C(=O)C(=C(C2=O)Br)Br,83259
90,c1ccc2c(c1)C(=O)C(=C(C2=O)Cl)Cl,8342
91,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,8371
92,c1cc2c(c(c1)N(=O)=O)C(=O)c1c(C2=O)c(ccc1)Cl,8510
93,c1cc2c(c(c1)N)C(=O)c1c(C2=O)cccc1N,8511
94,c1ccc2C(=O)C=CC(=O)c2c1,8530
95,c1ccc2c(c1)C(=O)c1cc(c(c(c1C2=O)O)O)S([O])([O])O,8534
96,c1ccc2c(c1)C(=O)c1c(C2=O)cc(cc1)Cl,8553
97,c1ccc(cc1)SC1=CC(=O)C(=CC1=O)Sc1ccccc1,86928
98,CC1=CC(=O)C(=CC1=O)C,8718
99,C1=C(C(=O)C(=CC1=O)Br)Br,88175
100,COC1=CC(=O)C(=O)C=C1OC,88786
101,C1=C(C(=O)C=C(C1=O)NCCCl)NCCCl,90030
102,C1CN1C1=C(C(=O)C(=C(C1=O)Cl)N1CC1)Cl,95714
103,C1CCN(CC1)c1cccc2c1C(=O)c1ccccc1C2=O,95936
104,CSC1=CC(=O)c2ccccc2C1=O,96324
105,CC(C)(C)C1=CC(=O)c2ccccc2C1=O,96470
106,c1ccc(cc1)C1=CC(=O)C=CC1=O,9688
107,C(#N)C1=C(C(=O)C(=C(C1=O)Br)Br)C#N,96899
108,CC1=CC(=O)C(=CC1=O)NC(=O)C,97510
109,c1ccc2c(c1)C(=O)C(=C(C2=O)C#N)C#N,98547
110,C1CN1C1=C(C(=O)C(=C(C1=O)F)N1CC1)F,99301
